●標的證券資訊,,,,,,,,,
"股票期貨、
選擇權
商品代碼 ",標的證券 ,"證券
代號 ","標的證券
簡稱 ",是否為標的,,標的證券,,,"標準型
證券
股數"
,,,,"股票
期貨","股票
選擇權","上市
普通股","上櫃
普通股","上市
ETF",
LH,松翰科技股份有限公司,5471,松翰,●,,◎,,,"2,000 "
LI,台郡科技股份有限公司,6269,台郡,●,,◎,,,"2,000 "
LM,美利達工業股份有限公司,9914,美利達,●,,◎,,,"2,000 "
LO,合作金庫金融控股股份有限公司,5880,合庫金,●,●,◎,,,"2,000 "
LP,台灣神隆股份有限公司,1789,神隆,●,,◎,,,"2,000 "
LQ,英業達股份有限公司,2356,英業達,●,,◎,,,"2,000 "
LR,中華開發金融控股股份有限公司,2883,開發金,●,,◎,,,"2,000 "
LT,遠傳電信股份有限公司,4904,遠傳,●,,◎,,,"2,000 "
LU,臻鼎科技控股股份有限公司,4958,臻鼎-KY,●,,◎,,,"2,000 "
LV,中租控股股份有限公司,5871,中租-KY,●,,◎,,,"2,000 "
LW,儒鴻企業股份有限公司,1476,儒鴻,●,,◎,,,"2,000 "
LY,南亞電路板股份有限公司,8046,南電,●,,◎,,,"2,000 "
LZ,可寧衛股份有限公司,8422,可寧衛,●,,◎,,,"2,000 "
MA,葡萄王生技股份有限公司,1707,葡萄王,●,,◎,,,"2,000 "
MB,敬鵬工業股份有限公司,2355,敬鵬,●,,◎,,,"2,000 "
MC,隆達電子股份有限公司,3698,隆達,●,,◎,,,"2,000 "
ME,奇美材料科技股份有限公司,4960,奇美材,●,,◎,,,"2,000 "
MH,勤美股份有限公司,1532,勤美,●,,◎,,,"2,000 "
MI,橋椿金屬股份有限公司,2062,橋椿,●,,◎,,,"2,000 "
MJ,致茂電子股份有限公司,2360,致茂,●,,◎,,,"2,000 "
MK,美律實業股份有限公司,2439,美律,●,,◎,,,"2,000 "
ML,晶睿通訊股份有限公司,3454,晶睿,●,,◎,,,"2,000 "
MM,承業生醫投資控股股份有限公司,4164,承業醫,●,,◎,,,"2,000 "
MO,飛捷科技股份有限公司,6206,飛捷,●,,◎,,,"2,000 "
MP,精誠資訊股份有限公司,6214,精誠,●,,◎,,,"2,000 "
MQ,矽格股份有限公司,6257,矽格,●,,◎,,,"2,000 "
MR,南六企業股份有限公司,6504,南六,●,,◎,,,"2,000 "
MU,帝寶工業股份有限公司,6605,帝寶,●,,◎,,,"2,000 "
MV,台灣百和工業股份有限公司,9938,百和,●,,◎,,,"2,000 "
MY,精華光學股份有限公司,1565,精華,●,,,◎,,"2,000 "
NA,穩懋半導體股份有限公司,3105,穩懋,●,,,◎,,"2,000 "
NB,璟德電子工業股份有限公司,3152,璟德,●,,,◎,,"2,000 "
NC,順達科技股份有限公司,3211,順達,●,,,◎,,"2,000 "
ND,威剛科技股份有限公司,3260,威剛,●,,,◎,,"2,000 "
NE,欣銓科技股份有限公司,3264,欣銓,●,,,◎,,"2,000 "
NG,碩禾電子材料股份有限公司,3691,碩禾,●,,,◎,,"2,000 "
NH,台灣東洋藥品工業股份有限公司,4105,東洋,●,,,◎,,"2,000 "
NI,晟德大藥廠股份有限公司,4123,晟德,●,,,◎,,"2,000 "
NJ,榮剛材料科技股份有限公司,5009,榮剛,●,,,◎,,"2,000 "
NK,桂盟國際股份有限公司,5306,桂盟,●,,,◎,,"2,000 "
NL,世界先進積體電路股份有限公司,5347,世界,●,,,◎,,"2,000 "
NM,中強光電股份有限公司,5371,中光電,●,,,◎,,"2,000 "
NN,智冠科技股份有限公司,5478,智冠,●,,,◎,,"2,000 "
NO,中美矽晶製品股份有限公司,5483,中美晶,●,,,◎,,"2,000 "
NQ,新普科技股份有限公司,6121,新普,●,,,◎,,"2,000 "
NS,頎邦科技股份有限公司,6147,頎邦,●,,,◎,,"2,000 "
NT,茂迪股份有限公司,6244,茂迪,●,,,◎,,"2,000 "
NU,網路家庭國際資訊股份有限公司,8044,網家,●,,,◎,,"2,000 "
NV,元太科技工業股份有限公司,8069,元太,●,,,◎,,"2,000 "
NW,群聯電子股份有限公司,8299,群聯,●,,,◎,,"2,000 "
NX,森鉅科技材料股份有限公司,8942,森鉅,●,,,◎,,"2,000 "
NY,元大台灣卓越50證券投資信託基金,0050,元大台灣50ETF,●,●,,,◎,"10,000 "
NZ,元大標智滬深300證券投資信託基金,0061,元大寶滬深ETF,●,●,,,◎,"10,000 "
OA,富邦上証180證券投資信託基金,006205,FB上証ETF,●,●,,,◎,"10,000 "
OB,元大中國傘型證券投資信託基金之上證50證券投資信託基金,006206,元大上證50ETF,●,●,,,◎,"10,000 "
OC,復華滬深300 A股證券投資信託基金,006207,FH滬深ETF,●,●,,,◎,"10,000 "
OD,為升電裝工業股份有限公司,2231,為升,●,,◎,,,"2,000 "
OE,瀚宇彩晶股份有限公司,6116,彩晶,●,,◎,,,"2,000 "
OF,東隆興業股份有限公司,4401,東隆興,●,,,◎,,"2,000 "
OG,先豐通訊股份有限公司,5349,先豐,●,,,◎,,"2,000 "
OH,胡連精密股份有限公司,6279,胡連,●,,,◎,,"2,000 "
OI,國統國際股份有限公司,8936,國統,●,,,◎,,"2,000 "
OJ,國泰富時中國A50證券投資信託基金,00636,國泰中國A50ETF,●,●,,,◎,"10,000 "
OK,富邦深証100證券投資信託基金,00639,FB深100ETF,●,●,,,◎,"10,000 "
OL,大立光電股份有限公司,3008,大立光,●,,◎,,,100 
OM,精華光學股份有限公司,1565,精華,●,,,◎,,100 
ON,碩禾電子材料股份有限公司,3691,碩禾,●,,,◎,,100 
