●標的證券資訊,,,,,,,,
"股票期貨、
選擇權
商品代碼 ",標的證券 ,"證券
代號 ","標的證券
簡稱 ",是否為標的,,標的證券,,
KK,達方電子股份有限公司,8163,達方,●,,◎,,
KL,寶成工業股份有限公司,9904,寶成,●,,◎,,
KO,宏全國際股份有限公司,9939,宏全,●,,◎,,
KP,潤泰創新國際股份有限公司,9945,潤泰新,●,,◎,,
KR,味全食品工業股份有限公司,1201,味全,●,,◎,,
KS,聚陽實業股份有限公司,1477,聚陽,●,,◎,,
KT,喬山健康科技股份有限公司,1736,喬山,●,,◎,,
KW,廣宇科技股份有限公司,2328,廣宇,●,,◎,,
LB,健鼎科技股份有限公司,3044,健鼎,●,,◎,,
LC,台灣大哥大股份有限公司,3045,台灣大,●,,◎,,
LE,玉晶光電股份有限公司,3406,玉晶光,●,,◎,,
LH,松翰科技股份有限公司,5471,松翰,●,,◎,,
LI,台郡科技股份有限公司,6269,台郡,●,,◎,,
LL,統一實業股份有限公司,9907,統一實,●,,◎,,
LM,美利達工業股份有限公司,9914,美利達,●,,◎,,
LO,合作金庫金融控股股份有限公司,5880,合庫金,●,●,◎,,
LP,台灣神隆股份有限公司,1789,神隆,●,,◎,,
LQ,英業達股份有限公司,2356,英業達,●,,◎,,
LR,中華開發金融控股股份有限公司,2883,開發金,●,,◎,,
LT,遠傳電信股份有限公司,4904,遠傳,●,,◎,,
LU,臻鼎科技控股股份有限公司,4958,F-臻鼎,●,,◎,,
LV,中租控股股份有限公司,5871,F-中租,●,,◎,,
LW,儒鴻企業股份有限公司,1476,儒鴻,●,,◎,,
LX,國巨股份有限公司,2327,國巨,●,,◎,,
LY,南亞電路板股份有限公司,8046,南電,●,,◎,,
LZ,可寧衛股份有限公司,8422,可寧衛,●,,◎,,
MA,葡萄王生技股份有限公司,1707,葡萄王,●,,◎,,
MB,敬鵬工業股份有限公司,2355,敬鵬,●,,◎,,
MC,隆達電子股份有限公司,3698,隆達,●,,◎,,
ME,奇美材料科技股份有限公司,4960,奇美材,●,,◎,,
MF,力鵬企業股份有限公司,1447,力鵬,●,,◎,,
MH,勤美股份有限公司,1532,勤美,●,,◎,,
MI,橋椿金屬股份有限公司,2062,橋椿,●,,◎,,
MJ,致茂電子股份有限公司,2360,致茂,●,,◎,,
MK,美律實業股份有限公司,2439,美律,●,,◎,,
ML,晶睿通訊股份有限公司,3454,晶睿,●,,◎,,
MM,承業生醫投資控股股份有限公司,4164,承業醫,●,,◎,,
MO,飛捷科技股份有限公司,6206,飛捷,●,,◎,,
MP,精誠資訊股份有限公司,6214,精誠,●,,◎,,
MQ,矽格股份有限公司,6257,矽格,●,,◎,,
MR,南六企業股份有限公司,6504,南六,●,,◎,,
MU,帝寶工業股份有限公司,6605,帝寶,●,,◎,,
MV,台灣百和工業股份有限公司,9938,百和,●,,◎,,
MY,精華光學股份有限公司,1565,精華,●,,,◎,
NA,穩懋半導體股份有限公司,3105,穩懋,●,,,◎,
NB,璟德電子工業股份有限公司,3152,璟德,●,,,◎,
NC,順達科技股份有限公司,3211,順達,●,,,◎,
ND,威剛科技股份有限公司,3260,威剛,●,,,◎,
NE,欣銓科技股份有限公司,3264,欣銓,●,,,◎,
NF,漢民微測科技股份有限公司,3658,漢微科,●,,,◎,
NG,碩禾電子材料股份有限公司,3691,碩禾,●,,,◎,
NH,台灣東洋藥品工業股份有限公司,4105,東洋,●,,,◎,
NI,晟德大藥廠股份有限公司,4123,晟德,●,,,◎,
NJ,榮剛材料科技股份有限公司,5009,榮剛,●,,,◎,
NK,桂盟國際股份有限公司,5306,桂盟,●,,,◎,
NL,世界先進積體電路股份有限公司,5347,世界,●,,,◎,
NM,中強光電股份有限公司,5371,中光電,●,,,◎,
NN,智冠科技股份有限公司,5478,智冠,●,,,◎,
NO,中美矽晶製品股份有限公司,5483,中美晶,●,,,◎,
NQ,新普科技股份有限公司,6121,新普,●,,,◎,
NR,耕興股份有限公司,6146,耕興,●,,,◎,
NS,頎邦科技股份有限公司,6147,頎邦,●,,,◎,
NT,茂迪股份有限公司,6244,茂迪,●,,,◎,
NU,網路家庭國際資訊股份有限公司,8044,網家,●,,,◎,
NV,元太科技工業股份有限公司,8069,元太,●,,,◎,
